TeamID1,TeamID2,Name1,Name2,Win_prob1,Odds1
1163,1235,Uconn,Iowa St.,0.6633617,-197.0547569
1163,1228,Uconn,Illinois,0.7797085,-353.9439884
1163,1120,Uconn,Auburn,0.72147775,-259.037739
1163,1361,Uconn,SDSU,0.72279036,-260.7378162
1163,1140,Uconn,BYU,0.79078656,-377.9807745
1163,1450,Uconn,Washu,0.8021449,-405.4203427
1163,1194,Uconn,FAU,0.82725126,-478.8754083
1163,1321,Uconn,Northwestern,0.8596786,-612.6498066
1163,1179,Uconn,Drake,0.8068473,-417.7250263
1163,1182,Uconn,Duquesne,0.7511728,-301.8852937
1163,1412,Uconn,UAB,0.8625693,-627.6393121
1163,1463,Uconn,Yale,0.81412196,-437.9871708
1163,1287,Uconn,Morehead St.,0.8837897,-760.5090566
1163,1355,Uconn,South Dakota St.,0.9241153,-1217.788701
1163,1391,Uconn,Stetson,0.94998467,-1899.386975
1163,1314,Uconn,UNC,0.73177934,-272.8273536
1163,1112,Uconn,Arizona,0.72426206,-262.663185
1163,1124,Uconn,Baylor,0.78166187,-358.0052011
1163,1104,Uconn,Alabama,0.78081435,-356.2342464
1163,1388,Uconn,St. Mary's,0.72448903,-262.9619582
1163,1155,Uconn,Clemson,0.7748782,-344.2039897
1163,1173,Uconn,Dayton,0.6814343,-213.9069641
1163,1280,Uconn,Mississippi St.,0.78043383,-355.443576
1163,1277,Uconn,MSU,0.8020717,-405.2334367
1163,1305,Uconn,Nevada,0.8275239,-479.7904321
1163,1307,Uconn,New Mexico,0.72911406,-269.1590578
1163,1213,Uconn,Grand Canyon,0.816379,-444.6000502
1163,1158,Uconn,Charleston,0.86345965,-632.3842189
1163,1159,Uconn,Colgate,0.89598715,-861.419699
1163,1253,Uconn,LBSU,0.9536368,-2056.884212
1163,1224,Uconn,Howard,0.9787704,-4610.39885
1163,1345,Uconn,Purdue,0.56619984,-130.5208919
1163,1397,Uconn,Tennessee,0.65333444,-188.4624583
1163,1166,Uconn,Creighton,0.7001301,-233.4779572
1163,1242,Uconn,Kansas,0.79309356,-383.3102393
1163,1211,Uconn,Gonzaga,0.7810386,-356.7014639
1163,1376,Uconn,South Carolina,0.8441555,-541.6652101
1163,1400,Uconn,Texas,0.81963354,-454.4268149
1163,1429,Uconn,Utah St.,0.81522334,-441.1938821
1163,1395,Uconn,TCU,0.8606403,-617.5674959
1163,1161,Uconn,Colorado St.,0.8081567,-421.2588346
1163,1332,Uconn,Oregon,0.85176057,-574.584336
1163,1270,Uconn,McNeese,0.85227716,-576.943388
1163,1359,Uconn,Samford,0.90304184,-931.3727033
1163,1103,Uconn,Akron,0.86377424,-634.0755523
1163,1389,Uconn,St. Peter's,0.9113069,-1027.483648
1163,1212,Uconn,Grambling,0.95999545,-2399.715569
1163,1222,Uconn,Houston,0.44313878,-79.57795603
1163,1266,Uconn,Marquette,0.70063895,-234.0447929
